4.0 19.5539 19.6836 19.6292 19.6526 19.5801 19.7295 19.7015 19.7327 19.5859 19.6308
4.1 19.2732 19.5742 19.547 19.4811 19.4548 19.6379 19.6113 19.5763 19.3703 19.6583
4.2 3.76495 3.73519 3.76703 3.77151 3.76319 3.78159 3.77967 3.77359 3.77487 3.77183
4.3 3.74447 3.73391 3.76879 3.78271 3.78607 3.78255 3.77679 3.77423 3.77439 3.77967
4.4 3.19103 3.18255 3.21951 3.22879 3.25023 3.22671 3.25423 3.22383 3.25631 3.24095
4.5 3.19903 3.17839 3.20527 3.24415 3.23727 3.23711 3.23631 3.23855 3.23087 3.23487
5.0 1.77488 1.75391 1.77087 1.79343 1.78735 1.7984 1.76079 1.81247 1.78895 1.75312
5.1 1.70575 1.72096 1.72207 1.74031 1.73839 1.75904 1.756 1.76799 1.76543 1.76751
5.2 1.72352 1.70879 1.72687 1.72287 1.74463 1.75903 1.74815 1.76128 1.75279 1.76064
5.3 1.53424 1.53936 1.52416 1.51488 1.52976 1.52623 1.53168 1.52832 1.52623 1.53712
5.4 1.53631 1.53392 1.5144 1.5152 1.53024 1.53056 1.52848 1.52864 1.53728 1.53568
5.5 1.51391 1.51471 1.52191 1.52768 1.53007 1.52271 1.52768 1.52527 1.53279 1.52351
5.6 1.50368 1.50432 1.49728 1.5088 1.5128 1.51008 1.50448 1.50944 1.50752 1.5104
5.7 1.49584 1.50064 1.49392 1.49008 1.49504 1.50224 1.50304 1.50736 1.49536 1.50016
6.0 1.48576 1.49184 1.49152 1.5016 1.49344 1.4984 1.49936 1.50336 1.496
