# Number of radices, number of supported sizes <= 2048
1 11
2 47
3 109
4 189
5 267
6 350
7 426
8 501
9 569
10 629
11 688
12 739
13 786
14 832
15 875
16 913
17 947
18 980
19 1010
20 1038
